sentence	voicevox_says	kuromoji_expects
『お客様の細かいことまで気にして構う、これがいいサービス』と店長は言います。	おきゃくさまのこまかいことまできにしてかまうこれがいさあびすとてんちょおわいます	おきゃくさまのこまかいことまできにしてかまうこれがいさびすとてんちょおわいます
『それでは、それなら明日も外出しません。それとも、屋内のスポーツでも?』。	それでわそれならあしたもがいしゅつしませんそれともおくないのすぽおつでも	それでわそれならあしたもがいしゅつしませんそれともおくないのすぽつでも
『ところが、ジムも休館。ところで、最近何してる?しかし、退屈は嫌い』。	ところがじむもきゅうかんところでさいきんなんしてるしかしたいくつわきらい	ところがじむもきゅうかんところでさいきんなにしてるしかしたいくつわきらい
『健康第一』 — これが最近の私のモットーです。時々、感動して涙が出ます(笑)。	けんこおだいちこれがさいきんのわたしのもっとおですときどきかんどおしてなみだがでますわらい	けんこおだいちこれがさいきんのわたしのもっとですときどきかんどおしてなみだがでますえみ
～あいだに	あいだに	～あいだに
～うちに	うちに	～うちに
～おかげで	おかげで	～おかげで
～がち	がち	～がち
～から	から	～から
～からには	からにわ	～からにわ
～かわりに	かわりに	～かわりに
～ぎみ	ぎみ	～ぎみ
～くせに	くせに	～くせに
～ことがある	ことがある	～ことがある
～ことだ	ことだ	～ことだ
～ことにする	ことにする	～ことにする
～ことになる	ことになる	～ことになる
～ことは～が	ことわが	～ことわ～が
～さえ	さえ	～さえ
～ざるを得ない	ざるおえない	～ざるおえない
～しか	しか	～しか
～すら	すら	～すら
～せいで	せえで	～せえで
～だけ	だけ	～だけ
～ために	ために	～ために
～たら	たら	～たら
～っぽい	っぽい	～っぽい
～てある	てある	～てある
～ていく	てえく	～てえく
～ている	てえる	～てえる
～ておく	ておく	～ておく
～てくる	てくる	～てくる
～てしまう	てしまう	～てしまう
～てほしい	てほしい	～てほしい
～てみる	てみる	～てみる
～と	と	～と
～というより	というより	～というより
～どころか	どころか	～どころか
～としたら	としたら	～としたら
～とすると	とすると	～とすると
～とすれば	とすれば	～とすれば
～ないわけにはいかない	ないわけにわいかない	～ないわけにわいかない
～なくなる	なくなる	～なくなる
～なら	なら	～なら
～にあたり	にあたり	～にあたり
～にかかわらず	にかかわらず	～にかかわらず
～について	について	～について
～にとって	にとって	～にとって
～には～が	にわが	～にわ～が
～にもかかわらず	にもかかわらず	～にもかかわらず
～によって	によって	～によって
～に違いない	にちがいない	～にちがいない
～に応じて	におじて	～におじて
～に関して	にかんして	～にかんして
～に基づいて	にもとずいて	～にもとずいて
～に決まっている	にきまってえる	～にきまってえる
～に相違ない	にそおいない	～にそおいない
～に対して	にたいして	～にたいして
～に当たって	にあたって	～にあたって
～ので	ので	～ので
～のに	のに	～のに
～のみ	のみ	～のみ
～のみならず	のみならず	～のみならず
～ば	ば	～ば
～ばかり	ばかり	～ばかり
～ばかりか	ばかりか	～ばかりか
～はずだ	わずだ	～わずだ
～べきだ	べきだ	～べきだ
～まで	まで	～まで
～まに	まに	～まに
～みたいだ	みたいだ	～みたいだ
～ものだ	ものだ	～ものだ
～ようだ	よおだ	～よおだ
～ように	よおに	～よおに
～ようにする	よおにする	～よおにする
～ようになる	よおになる	～よおになる
～らしい	らしい	～らしい
～わけだ	わけだ	～わけだ
～わけにはいかない	わけにわいかない	～わけにわいかない
～をもとに	おもとに	～おもとに
～を通じて	おつうじて	～おつうじて
～を問わず	おとわず	～おとわず
～以上	いじょお	～いじょお
～一方で	いっぽおで	～いっぽおで
～気味	ぎみ	～ぎみ
～向き	むき	～むき
～向け	むけ	～むけ
～際に	さいに	～ぎわに
～次第	しだい	～しだい
～上で	じょおで	～じょおで
～上に	じょおに	～じょおに
～上は	じょおわ	～じょおわ
～反面	わんめん	～わんめん
100キロからある荷物を、彼は一人で運び切った。	ひゃっきろからあるにもつおかれわひとりでわこびきった	きろからあるにもつおかれわいちにんでわこびきった
10月になると、涼しくなります。	じゅうがつになるとすずしくなります	つきになるとすずしくなります
10時から18時まで営業します。	じゅうじからじゅうわちじまでえぎょおします	じからじまでえぎょおします
10年ぶりに高校のクラスメイトと再会した。	じゅうねんぶりにこおこおのくらすめえととさいかいした	ねんぶりにこおこおのくらすめえととさいかいした
10年修行しただけのことはある。料理の腕が抜群だ。	じゅうねんしゅぎょおしただけのことわあるりょおりのおでがばつぐんだ	ねんしゅぎょおしただけのことわあるりょおりのおでがばつぐんだ
10分しか残っていません。	じゅっぷんしかのこってえません	ふんしかのこってえません
1か月に2回映画館へ行きます。	いっかげつににかいえがかんえきます	かげつにかいえがかんえきます
1時間くらいかかります。	いちじかんくらいかかります	じかんくらいかかります
20年にわたって、同じ分野の研究を続けてきた。	にじゅうねんにわたっておなじぶんやのけんきゅうおつずけてきた	ねんにわたっておなじぶんやのけんきゅうおつずけてきた
30万人が参加しただけのことはある、見応えのあるマラソン大会だった。	さんじゅうまんにんがさんかしただけのことわあるみごたえのあるまらそんたいかいだった	まんにんがさんかしただけのことわあるみごたえのあるまらそんたいかいだった
3月から4月にかけて、全国で桜が咲く。	さんがつからしがつにかけてぜんこくでさくらがさく	つきからつきにかけてぜんこくでさくらがさく
3日間にわたって国際会議が行われた。	みっかかんにわたってこくさいかいぎがおこなわれた	にちかんにわたってこくさいかいぎがおこなわれた
3年も住んでいれば、詳しいわけだ。	さんねんもすんでえればくわしいわけだ	ねんもすんでえればくわしいわけだ
42 キロを走りきった時、自然と涙が出た。	よんじゅうにきろおわしりきったときしぜんとなみだがでた	きろおわしりきったときしぜんとなみだがでた
50歳にして初めて海外に渡航した。	ごじゅっさいにしてわじめてかいがいにとこおした	さいにしてわじめてかいがいにとこおした
5キロ走り続けました。	ごきろわしりつずけました	きろわしりつずけました
5年ぶりに母校を訪れた。	ごねんぶりにぼこおとずれた	ねんぶりにぼこおとずれた
5分の遅刻ならまだしも、1時間遅れるのはありえない。	ごふんのちこくならまだしもいちじかんおくれるのわありえない	ぶんのちこくならまだしもじかんおくれるのわありえない
A：あした えいがを みに いきませんか。。B：いいですね。なんじに あいますか。。A：ろくじに えきで あいましょう。	えあしたえがおみにいきませんかびいですねなんじにあいますかえろくじにえきであいましょお	A：あしたえがおみにいきませんかB：いですねなんじにあいますかA：ろくじにえきであいましょお
A：いっしょに カフェに いきませんか。。B：すみません、いま いそがしいです。あした なら いいですよ。	えいっしょにかふぇにいきませんかびいすみませんいまいそがしいですあしたならいですよ	A：いっしょにかふぇにいきませんかB：すみませんいまいそがしいですあしたならいですよ
A：いま なんじですか。。B：くじはんです。	えいまなんじですかびいくじわんです	A：いまなんじですかB：くじわんです
A：いらっしゃいませ。。B：アイスコーヒーをひとつください。サイズはMで。。A：はい、四百円になります。	えいらっしゃいませびいあいすこおひいおひとつくださいさいずわえむでえわいよんひゃくえんになります	A：いらっしゃいませB：あいすこひおひとつくださいさいずわMでA：わいよんひゃくえんになります
A：きょうは なんにちですか。。B：にがつ じゅうごにちです。	えきょおわなんにちですかびいにがつじゅうごにちです	A：きょおわなんにちですかB：にがつじゅうごにちです
A：このシャツはいくらですか。。B：三千五百円です。今セール中で、二着買うと二割引になります。。A：じゃあ二着お願いします。	えこのしゃつわいくらですかびいさんぜんごひゃくえんですこんせえるちゅうでにちゃくかうとにわりびきになりますえじゃあにちゃくおねがいします	A：このしゃつわいくらですかB：さんせんごひゃくえんですこんせるちゅうでにちゃくかうとにわりびきになりますA：じゃあにちゃくおねがいします
A：このプロジェクト、当初の見込みより大幅にコストが超過していますね。。B：はい。原材料の高騰と、仕様変更の度重なる発生が主な原因です。。A：今後の対策として、仕様変更のプロセスを厳格化する必要がありますね。承認フローを見直しましょう。。B：それに加えて、調達先の多様化も検討したいのですが。。A：いいですね。次回の定例会議でまとめて提案しましょう。	えこのぷろじぇくととおしょのみこみよりおわばにこすとがちょおかしてえますねびいわいげんざいりょおのこおとおとしよおえんこおのたびかさなるわっせえがおもなげんいんですえこんごのたいさくとしてしよおえんこおのぷろせすおげんかくかするひつよおがありますねしょおにんふろおみなおしましょおびいそれにくわえてちょおたつさきのたよおかもけんとおしたいのですがえいですねじかいのてえれえかいぎでまとめててえあんしましょお	A：このぷろじぇくととおしょのみこみよりおわばにこすとがちょおかしてえますねB：わいげんざいりょおのこおとおとしよおえんこおのたびかさなるわっせえがおもなげんいんですA：こんごのたいさくとしてしよおえんこおのぷろせすおげんかくかするひつよおがありますねしょおにんふろおみなおしましょおB：それにくわえてちょおたつさきのたよおかもけんとおしたいのですがA：いですねじかいのてえれえかいぎでまとめててえあんしましょお
A：このりんごは いくらですか。。B：ひとつ ひゃくえんです。。A：じゃ、みっつ ください。	えこのりんごわいくらですかびいひとつひゃくえんですえじゃみっつください	A：このりんごわいくらですかB：ひとつひゃくえんですA：じゃみっつください
A：システム障害の件、お客様からのクレームが増えています。。B：技術部からの報告では、明日の午前中には復旧する見込みです。。A：それまでの間、お客様への説明はどうしましょう。。B：公式サイトに詳細を掲載し、個別にも対応しましょう。	えしすてむしょおがいのけんおきゃくさまからのくれえむがふえてえますびいぎじゅつぶからのほおこくでわあしたのごぜんちゅうにわふっきゅうするみこみですえそれまでのあいだおきゃくさまえのせつめえわどおしましょおびいこおしきさいとにしょおさいおけえさいしこべつにもたいおしましょお	A：しすてむしょおがいのけんおきゃくさまからのくれむがふえてえますB：ぎじゅつぶからのほおこくでわあしたのごぜんちゅうにわふっきゅうするみこみですA：それまでのまおきゃくさまえのせつめえわどおしましょおB：こおしきさいとにしょおさいおけえさいしこべつにもたいおしましょお
A：すきな たべものは なんですか。。B：すしが すきです。。A：わたしも すしが すきです。	えすきなたべものわなんですかびいすしがすきですえわたしもすしがすきです	A：すきなたべものわなんですかB：すしがすきですA：わたしもすしがすきです
A：すみません、このシャツ、色違いはありますか。。B：こちらのシャツは白と黒と青がございます。。A：青はMサイズはありますか。。B：申し訳ありません、青のMサイズは売り切れてしまいまして。白と黒ならMサイズがございます。。A：じゃ、白のMをください。	えすみませんこのしゃついろちがいわありますかびいこちらのしゃつわしろとくろとあおがございますえあおわえむさいずわありますかびいもおしわけありませんあおのえむさいずわうりきれてしまいましてしろとくろならえむさいずがございますえじゃしろのえむおください	A：すみませんこのしゃついろちがいわありますかB：こちらのしゃつわしろとくろとあおがございますA：あおわMさいずわありますかB：もおしわけありませんあおのMさいずわうりきれてしまいましてしろとくろならMさいずがございますA：じゃしろのMおください
A：すみません、このみせは なんじまでですか。。B：ごご はちじまでです。	えすみませんこのみせわなんじまでですかびいごごわちじまでです	A：すみませんこのみせわなんじまでですかB：ごごわちじまでです
A：すみません、たこ焼きを二つと、お好み焼きを一つください。。B：はい。たこ焼きは一つ五百円で、お好み焼きは八百円です。。A：じゃ、全部でいくらですか。。B：千八百円です。	えすみませんたこやきおふたつとおこのみやきおひとつくださいびいわいたこやきわひとつごひゃくえんでおこのみやきわわっぴゃくえんですえじゃぜんぶでえくらですかびいせんわっぴゃくえんです	A：すみませんたこやきおふたつとおこのみやきおひとつくださいB：わいたこやきわひとつごひゃくえんでおこのみやきわわちひゃくえんですA：じゃぜんぶでえくらですかB：せんわちひゃくえんです
A：すみません、トイレはどこですか。。B：あちらです。まっすぐいって、みぎです。	えすみませんといれわどこですかびいあちらですまっすぐいってみぎです	A：すみませんといれわどこですかB：あちらですまっすぐいってみぎです
A：すみません、ペンを貸してくれませんか。。B：はい、どうぞ。。A：ありがとうございます。後で返します。	えすみませんぺんおかしてくれませんかびいわいどおぞえありがとおございますあとでかえします	A：すみませんぺんおかしてくれませんかB：わいどおぞA：ありがとおございますあとでかえします
A：すみません、大阪城への行き方を教えていただけませんか。。B：ここからまっすぐ行って、二つ目の信号を右に曲がってください。そのまま五分ほど歩くと、左手に見えてきますよ。。A：ありがとうございます。歩いてどのくらいかかりますか。。B：十五分ぐらいですね。	えすみませんおさかじょおえのいきかたおしえてえただけませんかびいここからまっすぐいってふたつめのしんごおみぎにまがってくださいそのままごふんほどあるくとひだりてにみえてきますよえありがとおございますあるいてどのくらいかかりますかびいじゅうごふんぐらいですね	A：すみませんおさかじょおえのいきかたおしえてえただけませんかB：ここからまっすぐいってふたつめのしんごおみぎにまがってくださいそのままごふんほどあるくとひだりてにみえてきますよA：ありがとおございますあるいてどのくらいかかりますかB：じゅうごふんぐらいですね
A：すみません、大阪城への行き方を教えていただけませんか。。B：ここからまっすぐ行って、二つ目の信号を右に曲がってください。五分ぐらいで着きますよ。	えすみませんおさかじょおえのいきかたおしえてえただけませんかびいここからまっすぐいってふたつめのしんごおみぎにまがってくださいごふんぐらいでつきますよ	A：すみませんおさかじょおえのいきかたおしえてえただけませんかB：ここからまっすぐいってふたつめのしんごおみぎにまがってくださいごふんぐらいでつきますよ
A：すみません、郵便局はどこですか。。B：あの白いビルの隣です。。A：ありがとうございます。	えすみませんゆうびんきょくわどこですかびいあのしろいびるのとなりですえありがとおございます	A：すみませんゆうびんきょくわどこですかB：あのしろいびるのとなりですA：ありがとおございます
A：たなかさんは どこですか。。B：いま、トイレに いきました。	えたなかさんわどこですかびいまといれにいきました	A：たなかさんわどこですかB：いまといれにいきました
A：なにを のみますか。。B：コーヒーを ください。	えなにおのみますかびいこおひいおください	A：なにおのみますかB：こひおください
A：なんじに おきますか。。B：まいにち ろくじに おきます。	えなんじにおきますかびいまいにちろくじにおきます	A：なんじにおきますかB：まいにちろくじにおきます
A：もしもし、すずきです。やまださん いますか。。B：すみません、いま でかけて います。	えもしもしすずきですやまださんいますかびいすみませんいまでかけてえます	A：もしもしすずきですやまださんいますかB：すみませんいまでかけてえます
A：夏休みはどこに行きますか。。B：両親と韓国に行く予定です。。A：いいですね。何日間ですか。。B：五日間です。	えなつやすみわどこにいきますかびいりょおしんとかんこくにいくよてえですえいですねなんにちかんですかびいつかかんです	A：なつやすみわどこにいきますかB：りょおしんとかんこくにいくよてえですA：いですねなんにちかんですかB：ごにちかんです
A：海外市場への本格的な参入を検討していますが、まずはどの地域から始めるべきでしょうか。。B：成長率と参入障壁のバランスを考慮すると、東南アジアが妥当でしょう。特にベトナムは若年層が多く、購買力も着実に上がっています。。A：競合の状況はどうですか。。B：日系企業はまだ少数ですが、中国や韓国の企業が積極的に進出しています。スピード感を持って動く必要があります。	えかいがいしじょおえのほんかくてきなさんにゅうおけんとおしてえますがまずわどのちいきからわじめるべきでしょおかびいせえちょおりつとさんにゅうしょおえきのばらんすおこおりょするととおなんあじあがだとおでしょおとくにべとなむわじゃくねんそおがおくこおばいりょくもちゃくじつにあがってえますえきょおごおのじょおきょおわどおですかびいにっけえきぎょおわまだしょおすうですがちゅうごくやかんこくのきぎょおがせっきょくてきにしんしゅつしてえますすぴいどかんおもってうごくひつよおがあります	A：かいがいしじょおえのほんかくてきなさんにゅうおけんとおしてえますがまずわどのちいきからわじめるべきでしょおかB：せえちょおりつとさんにゅうしょおえきのばらんすおこおりょするととおなんあじあがだとおでしょおとくにべとなむわじゃくねんそおがおくこおばいりょくもちゃくじつにあがってえますA：きょおごおのじょおきょおわどおですかB：にっけえきぎょおわまだしょおすうですがちゅうごくやかんこくのきぎょおがせっきょくてきにしんしゅつしてえますすぴどかんおもってうごくひつよおがあります
A：今回の情報漏洩の件、初動対応の遅れが致命的だった。原因究明と再発防止策の徹底が急務だ。。B：おっしゃる通りです。第三者委員会を立ち上げて、徹底的に調査することが信頼回復への第一歩かと。。A：それに加えて、影響を受けたお客様への補償と説明責任を果たさなければならない。広報部とも連携して、対応を急ぐように。。B：承知しました。一週間以内に基本方針を取りまとめてご報告します。	えこんかいのじょおほおろおえのけんしょどおたいおのおくれがちめえてきだったげんいんきゅうめえとさいわつぼおしさくのてってえがきゅうむだびいおっしゃるとおりですだいさんしゃいんかいおたちあげててってえてきにちょおさすることがしんらいかいふくえのだいっぽかとえそれにくわえてえきょおけたおきゃくさまえのほしょおとせつめえせきにんおわたさなければならないこおほおぶともれんけえしてたいおいそぐよおにびいしょおちしましたいっしゅうかんいないにきほんほおしんおとりまとめてごほおこくします	A：こんかいのじょおほおろおせつのけんしょどおたいおのおくれがちめえてきだったげんいんきゅうめえとさいわつぼおしさくのてってえがきゅうむだB：おっしゃるとおりですだいさんしゃいんかいおたちあげててってえてきにちょおさすることがしんらいかいふくえのだいっぽかとA：それにくわえてえきょおけたおきゃくさまえのほしょおとせつめえせきにんおわたさなければならないこおほおぶともれんけえしてたいおいそぐよおにB：しょおちしましたいちしゅうかんいないにきほんほおしんおとりまとめてごほおこくします
A：今回の人事異動の件ですが、大阪支社の営業部長に田中さんを推薦したいと考えています。。B：田中さんですか。確かに実績は申し分ないですが、マネジメント経験が浅いのが気になりますね。。A：その点は承知していますが、彼のリーダーシップと行動力は高く評価されていますし、副部長がベテランですから、サポート体制は整っています。。B：分かりました。役員会に上げて検討しましょう。	えこんかいのじんじいどおのけんですがおさかししゃのえぎょおぶちょおにたなかさんおすいせんしたいとかんがえてえますびいたなかさんですかたしかにじっせきわもおしぶんないですがまねじめんとけえけんがあさいのがきになりますねえそのてんわしょおちしてえますがかれのりいだあしっぷとこおどおりょくわたかくひょおかされてえますしふくぶちょおがべてらんですからさぽおとたいせえわととのってえますびいわかりましたやくいんかいにあげてけんとおしましょお	A：こんかいのじんじいどおのけんですがおさかししゃのえぎょおぶちょおにたなかさんおすいせんしたいとかんがえてえますB：たなかさんですかたしかにじっせきわもおしぶんないですがまねじめんとけえけんがあさいのがきになりますねA：そのてんわしょおちしてえますがかれのりだしっぷとこおどおりょくわたかくひょおかされてえますしふくぶちょおがべてらんですからさぽとたいせえわととのってえますB：わかりましたやくいんかいにあげてけんとおしましょお
A：今回の通商交渉、相手国の出方が読みにくいですね。。B：政治的な背景を考えると、強硬姿勢を取らざるを得ない事情もあるかと。。A：ただ、長引けば双方に経済的損失が出ます。譲歩点を探る必要があります。。B：水面下での協議を並行して進めるべきでしょう。	えこんかいのつうしょおこおしょおあいてこくのでかたがよみにくいですねびいせえじてきなわいけえおかんがえるときょおこおしせえおとらざるおえないじじょおもあるかとえただながびけばそおほおにけえざいてきそんしつがでますじょおほてんおさぐるひつよおがありますびいすいめんかでのきょおぎおえこおしてすすめるべきでしょお	A：こんかいのつうしょおこおしょおあいてこくのでかたがよみにくいですねB：せえじてきなわいけえおかんがえるときょおこおしせえおとらざるおえないじじょおもあるかとA：ただながびけばそおほおにけえざいてきそんしつがでますじょおほてんおさぐるひつよおがありますB：すいめんかでのきょおぎおえこおしてすすめるべきでしょお
A：今回の買収案件について、慎重に検討する必要があります。財務状況は表面的には良好ですが、内部留保の使い道に疑問が残ります。。B：おっしゃる通りです。デューデリジェンスをもう一段階深く行う必要があるかと。。A：時間的制約もありますが、リスク評価を優先しましょう。。B：承知しました。専門家チームを編成して進めます。	えこんかいのばいしゅうあんけんについてしんちょおにけんとおするひつよおがありますざいむじょおきょおわひょおめんてきにわりょおこおですがないぶりゅうほのつかいみちにぎもんがのこりますびいおっしゃるとおりですでゅうでりじぇんすおもおいちだんかいふかくおこなうひつよおがあるかとえじかんてきせえやくもありますがりすくひょおかおゆうせんしましょおびいしょおちしましたせんもんかちいむおえんせえしてすすめます	A：こんかいのばいしゅうあんけんについてしんちょおにけんとおするひつよおがありますざいむじょおきょおわひょおめんてきにわりょおこおですがないぶりゅうほのつかいみちにぎもんがのこりますB：おっしゃるとおりですでゅでりじぇんすおもおいちだんかいふかくおこなうひつよおがあるかとA：じかんてきせえやくもありますがりすくひょおかおゆうせんしましょおB：しょおちしましたせんもんかちむおえんせえしてすすめます
A：今期の業績についてですが、第三四半期はようやく黒字に転じましたが、通期では依然として厳しい状況です。。B：構造改革の効果が出始めているとは言えますね。ただ、為替の影響を除いた実質的な収益力は、まだ十分とは言えない。。A：第四四半期に向けて、コスト削減と新規事業の立ち上げを並行して進める必要があります。。B：取締役会で具体的な戦略を諮りましょう。	えこんきのぎょおせきについてですがだいさんしわんきわよおやくくろじにてんじましたがつうきでわいぜんとしてきびしいじょおきょおですびいこおぞおかいかくのこおかがでわじめてえるとわいえますねただかわせのえきょおのぞいたじっしつてきなしゅうえきりょくわまだじゅうぶんとわいえないえだいよんしわんきにむけてこすとさくげんとしんきじぎょおのたちあげおえこおしてすすめるひつよおがありますびいとりしまりやくかいでぐたいてきなせんりゃくおわかりましょお	A：こんきのぎょおせきについてですがだいさんしわんきわよおやくくろじにてんじましたがつうきでわいぜんとしてきびしいじょおきょおですB：こおぞおかいかくのこおかがでわじめてえるとわいえますねただかわせのえきょおのぞいたじっしつてきなしゅうえきりょくわまだじゅうぶんとわいえないA：だいよんしわんきにむけてこすとさくげんとしんきじぎょおのたちあげおえこおしてすすめるひつよおがありますB：とりしまりやくかいでぐたいてきなせんりゃくおわかりましょお
A：今度、新しいプロジェクトのメンバーになってもらえませんか。。B：光栄です。具体的にはどんな仕事ですか。。A：マーケティングの企画を一緒に作ってもらいたいんです。。B：分かりました。喜んで参加します。	えこんどあたらしいぷろじぇくとのめんばあになってもらえませんかびいこおえですぐたいてきにわどんなしごとですかえまあけてぃんぐのきかくおいっしょにつくってもらいたいんですびいわかりましたよろこんでさんかします	A：こんどあたらしいぷろじぇくとのめんばになってもらえませんかB：こおえですぐたいてきにわどんなしごとですかA：まけてぃんぐのきかくおいっしょにつくってもらいたいんですB：わかりましたよろこんでさんかします
A：今度の社員旅行、どこがいいと思いますか。。B：沖縄はどうですか。去年は北海道だったから、今年は暖かいところがいいかなと。。A：沖縄か。予算的に厳しくないですか。。B：格安航空を使えば、かなり抑えられると思いますよ。。A：なるほど。じゃ、見積もりを出してもらえますか。	えこんどのしゃいんりょこおどこがいとおもいますかびいおきなわわどおですかきょねんわほっかいどおだったからことしわあたたかいところがいかなとえおきなわかよさんてきにきびしくないですかびいかくやすこおくうおつかえばかなりおさえられるとおもいますよえなるほどじゃみつもりおだしてもらえますか	A：こんどのしゃいんりょこおどこがいとおもいますかB：おきなわわどおですかきょねんわほっかいどおだったからことしわあたたかいところがいかなとA：おきなわかよさんてきにきびしくないですかB：かくやすこおくうおつかえばかなりおさえられるとおもいますよA：なるほどじゃみつもりおだしてもらえますか
A：今度の人事で部長に昇進されると聞きました。おめでとうございます。。B：ありがとうございます。責任が増えますが、頑張ります。。A：何かお手伝いできることがあれば、おっしゃってください。。B：心強いお言葉、ありがとうございます。	えこんどのじんじでぶちょおにしょおしんされるとききましたおめでとおございますびいありがとおございますせきにんがふえますががんばりますえなにかおてつだいできることがあればおっしゃってくださいびいこころずよいおことばありがとおございます	A：こんどのじんじでぶちょおにしょおしんされるとききましたおめでとおございますB：ありがとおございますせきにんがふえますががんばりますA：なにかおてつだいできることがあればおっしゃってくださいB：こころずよいおことばありがとおございます
A：今日は何時に帰りますか。。B：会議が長引きそうなので、八時ぐらいになりそうです。。A：それは大変ですね。お疲れさまです。	えきょおわなんじにかえりますかびいかいぎがながびきそおなのでわちじぐらいになりそおですえそれわたいえんですねおつかれさまです	A：きょおわなんじにかえりますかB：かいぎがながびきそおなのでわちじぐらいになりそおですA：それわたいえんですねおつかれさまです
A：仕事の調子はどうですか。。B：忙しいですが、楽しいです。新しいプロジェクトを担当することになりました。。A：それは大変ですね。頑張ってください。	えしごとのちょおしわどおですかびいそがしいですがたのしいですあたらしいぷろじぇくとおたんとおすることになりましたえそれわたいえんですねがんばってください	A：しごとのちょおしわどおですかB：いそがしいですがたのしいですあたらしいぷろじぇくとおたんとおすることになりましたA：それわたいえんですねがんばってください
A：新しいプロジェクトの進行状況はどうなっていますか。遅れが出ているようですが。。B：申し訳ありません。システムの不具合が原因で、予定より3日ほど遅れております。。A：そうですか。今週末までに挽回できそうですか。。B：はい、チーム全員で残業して対応する予定です。	えあたらしいぷろじぇくとのしんこおじょおきょおわどおなってえますかおくれがでてえるよおですがびいもおしわけありませんしすてむのふぐあいがげんいんでよてえよりみっかほどおくれておりますえそおですかこんしゅうまつまでにばんかいできそおですかびいわいちいむぜんいんでざんぎょおしてたいおするよてえです	A：あたらしいぷろじぇくとのしんこおじょおきょおわどおなってえますかおくれがでてえるよおですがB：もおしわけありませんしすてむのふぐあいがげんいんでよてえよりにちほどおくれておりますA：そおですかこんしゅうまつまでにばんかいできそおですかB：わいちむぜんいんでざんぎょおしてたいおするよてえです
A：新人の田中さん、なかなか優秀ですね。。B：そうですね。質問が的確で、覚えるのも早いです。。A：将来が楽しみですね。次のプロジェクトでも活躍してもらいましょう。	えしんじんのたなかさんなかなかゆうしゅうですねびいそおですねしつもんがてきかくでおぼえるのもわやいですえしょおらいがたのしみですねつぎのぷろじぇくとでもかつやくしてもらいましょお	A：しんじんのたなかさんなかなかゆうしゅうですねB：そおですねしつもんがてきかくでおぼえるのもわやいですA：しょおらいがたのしみですねつぎのぷろじぇくとでもかつやくしてもらいましょお
A：申し訳ありませんが、明日の会議を一時間遅らせていただけませんか。。B：構いませんが、理由を教えてください。。A：実は、午前中にお客様の対応が入ってしまいまして。。B：分かりました。じゃあ午後三時からにしましょう。	えもおしわけありませんがあしたのかいぎおいちじかんおくらせてえただけませんかびいかまいませんがりゆうおしえてくださいえじつわごぜんちゅうにおきゃくさまのたいおがわいってしまいましてびいわかりましたじゃあごごさんじからにしましょお	A：もおしわけありませんがあしたのかいぎおいちじかんおくらせてえただけませんかB：かまいませんがりゆうおしえてくださいA：じつわごぜんちゅうにおきゃくさまのたいおがわいってしまいましてB：わかりましたじゃあごごさんじからにしましょお
